type,name,latitude_deg,longitude_deg,continent,iso_country,iso_region,iata_code
small_airport,Jamba Airport,-14.698192596435547,16.070148468017578,AF,AO,AO-HUA,JMB
small_airport,Capanda Airport,-9.76937007904,15.4553194046,AF,AO,AO-MAL,KNP
small_airport,Ndalatandos Airport,-9.275188446044922,14.977242469787598,AF,AO,AO-CNO,NDF
small_airport,Annanberg Airport,-4.90416666667,144.635833333,OC,PG,PG-MPM,AOB
small_airport,Abou-Deïa Airport,11.4773,19.2874,AF,TD,TD-SA,AOD
small_airport,Asapa Airport,-8.979166666669999,148.103611111,OC,PG,PG-NPP,APP
small_airport,April River Airport,-4.67666666667,142.540138889,OC,PG,PG-ESW,APR
small_airport,Girdwood Airport,60.9660987854,-149.12600708,,US,US-AK,AQY
small_airport,Bragado Airport,-35.144,-60.4803,SA,AR,AR-B,QRF
small_airport,Caleta Olivia Airport,-46.43180084229999,-67.5186004639,SA,AR,AR-Z,CVI
small_airport,Charata Airport,-27.2164,-61.2103,SA,AR,AR-H,CNT
small_airport,General Villegas Airport,-35.0,-63.0,SA,AR,AR-B,VGS
small_airport,Los Menucos Airport,-40.81769943237305,-68.07469940185547,SA,AR,AR-R,LMD
small_airport,Valcheta Airport,-40.7000007629,-66.1500015259,SA,AR,AR-R,VCF
small_airport,Sunchales Aeroclub Airport,-30.9575,-61.5283,SA,AR,AR-S,NCJ
small_airport,Carmen De Patagones Airport,-40.7781,-62.9803,SA,AR,AR-B,CPG
small_airport,Termal Airport,-26.753610611,-60.4922218323,SA,AR,AR-H,PRQ
small_airport,Colonia Sarmiento Airport,-45.582371,-68.999841,SA,AR,AR-U,OLN
small_airport,Aragip Airport,-9.88333333333,149.483333333,OC,PG,PG-MBA,ARP
small_airport,Tau Airport,-14.229200363199999,-169.511001587,OC,AS,AS-U-A,TAV
small_airport,Asirim Airport,-6.0097222222200015,150.368611111,OC,PG,PG-WBK,ASZ
small_airport,Namatanai Airport,-3.6695,152.438,OC,PG,PG-NIK,ATN
small_airport,Aitape Airport,-3.14361111111,142.346805556,OC,PG,PG-SAN,ATP
small_airport,Lady Elliot Island Airstrip,-24.1129,152.7156,OC,AU,AU-QLD,LYT
small_airport,Agnew Airport,-12.145600318908693,142.1490020751953,OC,AU,AU-QLD,AGW
small_airport,Alroy Downs Airport,-19.29080009460449,136.07899475097656,OC,AU,AU-NT,AYD
small_airport,Baniyala Airport,-13.19810009,136.227005005,OC,AU,AU-NT,BYX
small_airport,Coolibah Airport,-15.548299789428713,130.96200561523438,OC,AU,AU-NT,COB
small_airport,Coorabie Airport,-31.894399642944336,132.29600524902344,OC,AU,AU-SA,CRJ
small_airport,Carlton Hill Airport,-15.50189971923828,128.53399658203122,OC,AU,AU-WA,CRY
small_airport,Cresswell Downs Airport,-17.947999954223633,135.91600036621094,OC,AU,AU-NT,CSD
small_airport,Diamantina Lakes Airport,-23.761699676513672,141.14500427246094,OC,AU,AU-QLD,DYM
seaplane_base,Hayman Island Resort Seaplane Base,-20.059999465942386,148.88099670410156,OC,AU,AU-QLD,HIS
small_airport,Helenvale Airport,-15.685799598693848,145.21499633789062,OC,AU,AU-QLD,HLV
small_airport,Kimberley Downs Airport,-17.39780044555664,124.3550033569336,OC,AU,AU-WA,KBD
small_airport,Kulgera Airport,-25.84280014038086,133.29200744628906,OC,AU,AU-NT,KGR
small_airport,Miranda Downs Airport,-17.328899383544922,141.88600158691406,OC,AU,AU-QLD,MWY
small_airport,Camballin Airport,-18.12470054626465,124.27200317382812,OC,AU,AU-WA,MYO
small_airport,Orchid Beach Airport,-24.959400177002,153.31500244141,OC,AU,AU-QLD,OKB
small_airport,Peppimenarti Airport,-14.144200325,130.09100341799999,OC,AU,AU-NT,PEP
small_airport,Rockhampton Downs Airport,-18.95330047607422,135.20100402832028,OC,AU,AU-NT,RDA
small_airport,Sturt Creek Airport,-19.166400909423828,128.17399597167972,OC,AU,AU-WA,SSK
small_airport,Shaw River Airport,-21.510299682617188,119.36199951171876,OC,AU,AU-WA,SWB
small_airport,Tom Price Airport,-22.746000289900003,117.869003296,OC,AU,AU-WA,TPR
small_airport,Torwood Airport,-17.363300323486328,143.75,OC,AU,AU-QLD,TWP
small_airport,Springvale Airport,-17.78689956665039,127.66999816894531,OC,AU,AU-WA,ZVG
small_airport,Aua Island Airport,-1.46055555556,143.064722222,OC,PG,PG-MRL,AUI
small_airport,Ambunti Airport,-4.21566666667,142.823166667,OC,PG,PG-ESW,AUJ
small_airport,Agaun Airport,-9.93083333333,149.385666667,OC,PG,PG-MBA,AUP
small_airport,Aumo Airport,-5.731111111110001,148.445277778,OC,PG,PG-WBK,AUV
small_airport,Alowe Airport,-0.538055555556,9.450277777779998,AF,GA,GA-3,AWE
small_airport,Alxa Left Banner-Bayanhot Airport,38.8241,105.626,AS,CN,CN-15,AXF
small_airport,Kompiam Airport,-5.381666666669999,143.924722222,OC,PG,PG-EPW,KPM
medium_airport,Buka Airport,-5.422319889068604,154.67300415039062,OC,PG,PG-NSB,BUA
small_airport,Biaru Airport,-7.6693,146.7594,OC,PG,PG-MPL,BRP
medium_airport,Chimbu Airport,-6.024290084838867,144.9709930419922,OC,PG,PG-CPK,CMU
small_airport,Munduku Airport,-4.6204,143.4516,OC,PG,PG-ESW,MDM
small_airport,Kondobol Airport,-8.5336,142.5049,OC,PG,PG-WPD,KPF
small_airport,Dinangat Airport,-6.1546,146.6772,OC,PG,PG-MPL,DNU
small_airport,Doini Airport,-10.7009,150.7218,OC,PG,PG-MBA,DOI
medium_airport,Daru Airport,-9.086759567260001,143.207992554,OC,PG,PG-WPD,DAU
small_airport,Embessa Airport,-9.447000000000001,148.7628,OC,PG,PG-NPP,EMS
small_airport,Edwaki Airport,-3.883986,141.792234,OC,PG,PG-SAN,XYR
small_airport,Eliptamin Airport,-5.0412,141.6779,OC,PG,PG-SAN,EPT
small_airport,Engati Airstrip,-6.9179,146.1053,OC,PG,PG-MPL,EGA
small_airport,Emo River Airstrip,-9.1234,148.0415,OC,PG,PG-NPP,EMO
small_airport,Erume Airport,-8.2538,146.9747,OC,PG,PG-CPM,ERU
small_airport,Meselia Airport,-6.1364,149.1183,OC,PG,PG-WBK,MFZ
small_airport,Feramin Airport,-5.207999999999999,141.6988,OC,PG,PG-SAN,FRQ
small_airport,Frieda River Airport,-4.610468,141.960138,OC,PG,PG-ESW,FAQ
small_airport,Fuma Airport,-6.3933,142.4408,OC,PG,PG-WPD,FUM
