type,name,latitude_deg,longitude_deg,continent,iso_country,iso_region,iata_code
medium_airport,Pau Pyrénées Airport,43.38000107,-0.41861099,EU,FR,FR-B,PUF
medium_airport,Tarbes-Lourdes-Pyrénées Airport,43.17869949,-0.006438999902,EU,FR,FR-N,LDE
medium_airport,Angoulême-Brie-Champniers Airport,45.72919846,0.2214560062,EU,FR,FR-T,ANG
medium_airport,Périgueux-Bassillac Airport,45.19810104,0.8155559897,EU,FR,FR-B,PGX
small_airport,Dax Seyresse Airport,43.68920135,-1.068889976,EU,FR,FR-B,XDA
medium_airport,Biarritz-Anglet-Bayonne Airport,43.46839905,-1.52331996,EU,FR,FR-B,BIQ
small_airport,Châtellerault Airport,46.78139877,0.5519440174,EU,FR,FR-T,XCX
medium_airport,Cahors-Lalbenque Airport,44.35139847,1.475280046,EU,FR,FR-N,ZAO
small_airport,Guéret St Laurent Airport,46.17919922,1.958330035,EU,FR,FR-L,XGT
medium_airport,Arcachon-La Teste-de-Buch Airport,44.59640121,-1.110829949,EU,FR,FR-B,XAC
medium_airport,Albi-Le Séquestre Airport,43.91389847,2.113059998,EU,FR,FR-N,LBI
medium_airport,Castres-Mazamet Airport,43.55630112,2.28918004,EU,FR,FR-N,DCM
medium_airport,Rodez-Marcillac Airport,44.40790176,2.482670069,EU,FR,FR-N,RDZ
medium_airport,Royan-Médis Airport,45.62810135,-0.9725000262,EU,FR,FR-T,RYN
medium_airport,Montauban Airport,44.02569962,1.378039956,EU,FR,FR-N,XMW
medium_airport,Libourne-Artigues-de-Lussac Airport,44.98249817,-0.1347219944,EU,FR,FR-B,XLR
medium_airport,Rochefort-Saint-Agnant (BA 721) Airport,45.88779831,-0.9830560088,EU,FR,FR-T,RCO
small_airport,Sarlat Domme Airport,44.79330063,1.244719982,EU,FR,FR-B,XSL
small_airport,Tarbes Laloubère Airport,43.21609879,0.07861100137,EU,FR,FR-N,XTB
medium_airport,Île d'Yeu Airport,46.71860123,-2.391109943,EU,FR,FR-R,IDY
small_airport,Vierzon Méreau Airport,47.19469833,2.066669941,EU,FR,FR-F,XVZ
medium_airport,Colmar-Houssen Airport,48.10990143,7.35901022,EU,FR,FR-A,CMR
medium_airport,Beaune-Challanges Airport,47.00590134,4.893420219,EU,FR,FR-D,XBV
medium_airport,Dole-Tavaux Airport,47.03900146,5.427249908,EU,FR,FR-I,DLE
medium_airport,Verdun-Le Rozelier Airport,49.12239838,5.469049931,EU,FR,FR-M,XVN
small_airport,Megève Airport,45.82080078,6.652219772,EU,FR,FR-V,MVV
medium_airport,Aubenas-Ardèche Méridional Airport,44.5442009,4.372189999,EU,FR,FR-V,OBS
medium_airport,Le Puy-Loudes Airport,45.08069992,3.7628901,EU,FR,FR-C,LPY
small_airport,L'alpe D'huez Airport,45.0882988,6.084720135,EU,FR,FR-V,AHZ
small_airport,Chaumont-Semoutiers Airport,48.0862999,5.049019814,EU,FR,FR-G,XCW
